Rk,player_name,age,team,position,games_played,GS,minutes_per_game,FG,FGA,fg_pct,3P,3PA,three_pt_pct,2P,2PA,2P%,eFG%,FT,FTA,ft_pct,ORB,DRB,rebounds_per_game,assists_per_game,steals_per_game,blocks_per_game,turnovers_per_game,PF,points_per_game,Awards,Player-additional,salary_2023_24
164.0,Bruce Brown,27.0,2TM,SG,67.0,44.0,27.9,4.1,8.7,0.478,0.8,2.4,0.323,3.4,6.2,0.538,0.523,1.7,2.1,0.824,0.8,3.4,4.2,2.9,0.9,0.3,1.3,2.2,10.8,,brownbr01,23000000
165.0,Jake LaRavia,22.0,MEM,PF,35.0,6.0,23.0,3.4,8.7,0.389,1.5,4.5,0.34,1.9,4.2,0.442,0.477,2.6,3.1,0.826,1.5,2.2,3.7,1.7,0.8,0.3,1.3,2.0,10.8,,laravja01,3352680
166.0,Santi Aldama,23.0,MEM,PF,61.0,35.0,26.5,4.0,9.3,0.435,1.7,5.0,0.349,2.3,4.3,0.534,0.528,0.9,1.4,0.621,1.2,4.6,5.8,2.3,0.7,0.9,1.1,1.5,10.7,,aldamsa01,3960531
167.0,Simone Fontecchio,28.0,2TM,SF,66.0,43.0,24.9,3.8,8.3,0.46,2.0,5.1,0.401,1.8,3.2,0.551,0.582,0.8,1.0,0.818,1.0,2.8,3.7,1.5,0.7,0.3,1.0,1.7,10.5,,fontesi01,7692308
168.0,Spencer Dinwiddie,30.0,2TM,PG,76.0,52.0,28.3,3.3,8.4,0.392,1.6,4.8,0.337,1.7,3.6,0.467,0.489,2.2,2.8,0.805,0.4,2.3,2.7,4.7,0.7,0.3,1.2,1.8,10.5,,dinwisp01,2087519
169.0,Jaden McDaniels,23.0,MIN,SF,72.0,71.0,29.2,4.3,8.7,0.489,1.2,3.5,0.337,3.1,5.2,0.592,0.557,0.8,1.1,0.722,0.8,2.3,3.1,1.4,0.9,0.6,1.2,3.0,10.5,DEF2,mcdanja02,22586207
170.0,Alec Burks,32.0,2TM,SG,66.0,1.0,18.4,3.2,8.6,0.369,1.9,5.0,0.376,1.3,3.6,0.36,0.478,2.2,2.5,0.868,0.4,1.9,2.3,1.3,0.4,0.2,0.7,1.1,10.4,,burksal01,2087519
171.0,Dalano Banton,24.0,2TM,PG,54.0,9.0,19.4,3.7,9.3,0.404,1.1,3.7,0.296,2.6,5.6,0.475,0.463,1.7,2.2,0.783,0.8,2.5,3.3,2.4,0.6,0.4,1.4,1.2,10.3,,bantoda01,2196970
172.0,Grant Williams,25.0,2TM,PF,76.0,43.0,28.0,3.6,8.0,0.456,1.7,4.4,0.375,2.0,3.5,0.558,0.56,1.4,1.8,0.757,1.1,3.1,4.2,2.3,0.6,0.5,1.4,3.0,10.3,,willigr01,13025250
173.0,Obi Toppin,25.0,IND,PF,82.0,28.0,21.1,4.0,7.1,0.573,1.2,3.1,0.403,2.8,4.0,0.706,0.661,0.9,1.2,0.77,1.0,2.9,3.9,1.6,0.6,0.5,0.8,1.7,10.3,,toppiob01,12975000
174.0,Kevin Huerter,25.0,SAC,SG,64.0,59.0,24.4,3.9,8.8,0.443,1.9,5.3,0.361,2.0,3.4,0.571,0.553,0.6,0.7,0.766,0.6,2.9,3.5,2.6,0.7,0.4,0.8,2.1,10.2,,huertke01,16830357
176.0,T.J. McConnell,31.0,IND,PG,71.0,4.0,18.2,4.6,8.4,0.556,0.3,0.6,0.409,4.4,7.7,0.568,0.572,0.7,0.9,0.79,0.5,2.2,2.7,5.5,1.0,0.1,1.5,1.1,10.2,6MOY-7,mccontj01,9500000
177.0,Onyeka Okongwu,23.0,ATL,C,55.0,8.0,25.5,4.1,6.6,0.611,0.4,1.3,0.333,3.6,5.4,0.676,0.642,1.7,2.1,0.793,2.6,4.2,6.8,1.3,0.5,1.1,0.8,2.9,10.2,,okongon01,14000000
178.0,Kentavious Caldwell-Pope,30.0,DEN,SG,76.0,76.0,31.6,3.6,7.7,0.46,1.6,4.1,0.406,1.9,3.7,0.52,0.566,1.3,1.5,0.894,0.4,2.0,2.4,2.4,1.3,0.6,1.0,2.0,10.1,,caldwke01,22757000
179.0,Alex Caruso,29.0,CHI,SG,71.0,57.0,28.7,3.6,7.6,0.468,1.9,4.7,0.408,1.6,2.9,0.563,0.593,1.0,1.4,0.76,0.9,3.0,3.8,3.5,1.7,1.0,1.4,2.5,10.1,DPOY-10DEF2,carusal01,9890000
180.0,Talen Horton-Tucker,23.0,UTA,PG,51.0,11.0,19.8,3.6,9.1,0.396,1.2,3.6,0.33,2.4,5.5,0.438,0.46,1.7,2.1,0.807,0.4,2.0,2.4,3.5,0.9,0.4,1.3,1.8,10.1,,hortota01,2087519
181.0,Tre Jones,24.0,SAS,PG,77.0,48.0,27.8,3.9,7.8,0.505,0.8,2.5,0.335,3.1,5.3,0.584,0.558,1.3,1.5,0.856,0.8,3.0,3.8,6.2,1.0,0.1,1.5,1.2,10.0,,jonestr01,9104167
182.0,Caleb Martin,28.0,MIA,SF,64.0,23.0,27.4,3.8,8.7,0.431,1.3,3.6,0.349,2.5,5.1,0.489,0.504,1.2,1.5,0.778,1.2,3.2,4.4,2.2,0.7,0.5,1.2,2.0,10.0,,martica02,9186594
